job_url,title,salary,location,contract_type,job_type
/jobs/data-analyst-trainee/51879459?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Enfield,Permanent,full-time
/jobs/data-analyst-trainee/51883656?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51868769?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Croydon,Permanent,full-time
/jobs/data-analyst-trainee/52027847?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Gloucester,Permanent,full-time
/jobs/data-analyst-trainee/52027487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,West London,Permanent,full-time
/jobs/data-analyst-trainee/52027406?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Cambridge,Permanent,full-time
/jobs/senior-data-analyst/52200409?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Senior Data Analyst,"£41,383 - £52,000 per annum",Brighton,Permanent,full-time
/jobs/data-analyst-apprentice/52253717?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Apprentice,"£18,000 per annum",Wynyard,Permanent,full-time
/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Risk Data Analyst,Competitive salary,Loughborough,Permanent,full-time
/jobs/data-analyst-apprentice/52175351?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Apprentice,"£16,000 - £19,000 per annum",London,Permanent,full-time
/jobs/it-data-analyst/52212140?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,IT Data Analyst,£18.10 per hour,Manchester,Temporary,full-time
/jobs/digital-data-analyst/52046551?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Digital Data Analyst,"£42,000 - £45,000 per annum, inc benefits, pro-rata",City of London,Permanent,full-time
/jobs/data-analyst-apprentice/52158800?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Apprentice,Competitive salary,Leighton Buzzard,Permanent,full-time
/jobs/finance-data-analyst-apprentice/52188241?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Finance & Data Analyst Apprentice,"£25,000 - £30,000 per annum",Gateshead,Permanent,full-time
/jobs/data-analyst-supply-chain/52275603?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3, Data Analyst - Supply Chain,"£55,000 - £62,000 per annum, inc benefits",Gaydon,Permanent,full-time
